WILAYAH;ST;PM;BW;ASL;AML;LS;ASI
Sumba Barat;0,24;26,52;9,2;60,76;84;7,17;100
Sumba Timur;0,15;27,04;5,5;65,88;73,31;7,77;95,79
Kupang;0,14;21,37;9,5;73,34;90,16;7,62;100
Timor Tengah Selatan;0,24;24,68;11,6;70,72;75,48;7,21;96,28
Timor Tengah Utara;0,26;20,89;8,7;80,84;92,51;8,17;93,35
Belu ;0,14;13,86;10,7;85,78;86,36;7,5;86,17
Alor;0,13;19,87;11,1;85,83;87,28;8,61;95,41
Lembata;0,08;24,22;7,5;88,61;96,72;8,27;95,79
Flores Timur;0,2;11,25;10,2;96,98;99,8;8,06;100
Sikka;0,19;11,89;15,3;85,35;93,95;6,99;92,73
Ende;0,11;22,57;9,4;92,69;97,64;8,29;95,84
Ngada;0,1;11,87;6;86,56;97,2;8,83;98,8
Manggarai;0,12;19,01;3,7;66,26;95,54;7,91;97,34
Rote Ndao;0,18;25,78;9,9;85,16;82,48;7,83;98,24
Manggarai Barat;0,12;16,74;6,1;82,03;89,72;8,21;96,03
Sumba Tengah;0,15;30,84;4,3;52,51;59,59;7,23;96,59
Sumba Barat Daya;0,39;27,2;9;52,6;86,12;6,39;94,49
Nagekeo;0,1;12,3;8,2;83,52;93,46;8,23;100
Manggarai Timur;0,08;24,9;4;55,75;88,18;7,96;100
Sabu Raijua;0,21;28,13;9,8;83,51;72,95;6,99;89,29
Malaka;0,15;13,92;12,3;73,7;90,98;7,14;91,85
Kota Kupang;0,19;8,24;11,4;91,69;93,68;11,64;96,5
